Command: /home/921088438/final/Final--AS/./simv -l simv.log +ntb_random_seed=1
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version R-2020.12-SP2-11_Full64; Runtime version R-2020.12-SP2-11_Full64;  May 21 17:47 2024
VCD+ Writer R-2020.12-SP2-11_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
Reset successful.
PASS: Expected sum 5dff, DUT sum 5dff
PASS: Expected sum 5edf, DUT sum 5edf
PASS: Expected sum 5fb8, DUT sum 5fb8
PASS: Expected sum 6074, DUT sum 6074
PASS: Expected sum 60a1, DUT sum 60a1
PASS: Expected sum 6185, DUT sum 6185
PASS: Expected sum 6246, DUT sum 6246
PASS: Expected sum 6271, DUT sum 6271
PASS: Expected sum 633f, DUT sum 633f
PASS: Expected sum 63f2, DUT sum 63f2
PASS: Expected sum 6496, DUT sum 6496
PASS: Expected sum 654a, DUT sum 654a
PASS: Expected sum 6566, DUT sum 6566
PASS: Expected sum 65d3, DUT sum 65d3
PASS: Expected sum 660b, DUT sum 660b
PASS: Expected sum 6628, DUT sum 6628
PASS: Expected sum 6690, DUT sum 6690
PASS: Expected sum 66ae, DUT sum 66ae
PASS: Expected sum 6708, DUT sum 6708
PASS: Expected sum 679e, DUT sum 679e
PASS: Expected sum 689a, DUT sum 689a
PASS: Expected sum 6971, DUT sum 6971
PASS: Expected sum 6a0e, DUT sum 6a0e
PASS: Expected sum 6a3b, DUT sum 6a3b
PASS: Expected sum 6acb, DUT sum 6acb
PASS: Expected sum 6b5a, DUT sum 6b5a
PASS: Expected sum 6be5, DUT sum 6be5
PASS: Expected sum 6c41, DUT sum 6c41
PASS: Expected sum 6d38, DUT sum 6d38
PASS: Expected sum 6dd9, DUT sum 6dd9
PASS: Expected sum 6e2c, DUT sum 6e2c
PASS: Expected sum 6f19, DUT sum 6f19
PASS: Expected sum 6f36, DUT sum 6f36
PASS: Expected sum 6f6c, DUT sum 6f6c
PASS: Expected sum 7014, DUT sum 7014
PASS: Expected sum 703d, DUT sum 703d
PASS: Expected sum 70ed, DUT sum 70ed
PASS: Expected sum 70f2, DUT sum 70f2
PASS: Expected sum 7165, DUT sum 7165
PASS: Expected sum 723f, DUT sum 723f
PASS: Expected sum 7276, DUT sum 7276
PASS: Expected sum 7368, DUT sum 7368
PASS: Expected sum 7381, DUT sum 7381
PASS: Expected sum 7405, DUT sum 7405
PASS: Expected sum 7497, DUT sum 7497
PASS: Expected sum 7500, DUT sum 7500
PASS: Expected sum 75c7, DUT sum 75c7
PASS: Expected sum 75d2, DUT sum 75d2
PASS: Expected sum 7615, DUT sum 7615
PASS: Expected sum 765e, DUT sum 765e
PASS: Expected sum 76c4, DUT sum 76c4
PASS: Expected sum 76c8, DUT sum 76c8
PASS: Expected sum 76d9, DUT sum 76d9
PASS: Expected sum 7760, DUT sum 7760
